objective,pair_utility_at_10,difference_vs_paired,difference_interval_lower,difference_interval_upper,decision,wandb_runs
paired_identity,0.30875,0.0,,,baseline,https://wandb.ai/mcclain/vec2vec/runs/5wwd5b66 https://wandb.ai/mcclain/vec2vec/runs/wm03nncx https://wandb.ai/mcclain/vec2vec/runs/j79kzslr
verified_set,0.4879166666666667,0.1791666666666667,0.10375000000000001,0.25293749999999987,accepted,https://wandb.ai/mcclain/vec2vec/runs/t1iwjt5u https://wandb.ai/mcclain/vec2vec/runs/229mk24m https://wandb.ai/mcclain/vec2vec/runs/157soqtk
